aldehyde_1:-1
aldehyde_2:-1
aldehyde_3:-1
aldehyde_4:-1
aldehyde_5:-1
aldehyde_6:-1
aldehyde_7:0
aldehyde_8:-1
aldehyde_9:-1
aldehyde_10:-1
aldehyde_11:-1
aldehyde_12:-1
aldehyde_13:-1
aldehyde_14:-1
aldehyde_15:-1
aldehyde_16:-1
aldehyde_17:-1
aldehyde_18:-1
aldehyde_19:-1
aldehyde_20:-1
aldehyde_21:-1
aldehyde_22:-1
aldehyde_23:-1
aldehyde_24:-1
aldehyde_25:-1
aldehyde_26:-1
aldehyde_27:-1
aldehyde_28:-1
aldehyde_29:-1
aldehyde_30:-1
aldehyde_31:-1
aldehyde_32:-1
aldehyde_33:-1
aldehyde_34:-1
aldehyde_35:-1
aldehyde_36:-1
aldehyde_37:-1
aldehyde_38:-1
aldehyde_39:-1
aldehyde_40:-1
aldehyde_41:-1
aldehyde_42:-1
aldehyde_43:-1
aldehyde_44:-1
aldehyde_45:-1
aldehyde_46:-2
aldehyde_47:-1
aldehyde_48:-1
aldehyde_49:-1
aldehyde_50:-1
aldehyde_51:-1
aldehyde_52:-1
aldehyde_53:-1
aldehyde_54:-1
aldehyde_55:-1
aldehyde_56:-1
aldehyde_57:-1
aldehyde_58:-1
aldehyde_59:-1
aldehyde_60:-1
aldehyde_61:-1
aldehyde_62:-1
aldehyde_63:-1
aldehyde_64:-1
aldehyde_65:-1
aldehyde_66:-1
aldehyde_67:-1
aldehyde_68:-1
aldehyde_69:-1
aldehyde_70:-1
aldehyde_71:-1
aldehyde_72:-1
aldehyde_73:-1
aldehyde_74:-1
aldehyde_75:-1
aldehyde_76:0
aldehyde_77:-1
aldehyde_78:-1
aldehyde_79:-1
aldehyde_80:-1
aldehyde_81:-1
aldehyde_82:-1
aldehyde_83:-1
aldehyde_84:-1
aldehyde_85:-1
aldehyde_86:-1
aldehyde_87:-1
aldehyde_88:-1
aldehyde_89:-1
aldehyde_90:-1
aldehyde_91:-1
aldehyde_92:-1
aldehyde_93:-1
aldehyde_94:-1
aldehyde_95:-1
aldehyde_96:-1
aldehyde_97:-1
aldehyde_98:-1
aldehyde_99:-1
aldehyde_100:-1
aldehyde_101:-1
aldehyde_102:-1
aldehyde_103:-1
aldehyde_104:-1
aldehyde_105:-1
aldehyde_106:-1
aldehyde_107:-1
aldehyde_108:-1
aldehyde_109:-1
aldehyde_110:-1
aldehyde_111:-1
aldehyde_112:-1
aldehyde_113:-1
aldehyde_114:-1
aldehyde_115:-1
aldehyde_116:-1
aldehyde_117:-1
aldehyde_118:-1
aldehyde_119:-1
aldehyde_120:-1
aldehyde_121:-1
aldehyde_122:-1
aldehyde_123:-1
aldehyde_124:-1
aldehyde_125:-1
aldehyde_126:-1
aldehyde_127:-1
aldehyde_128:-1
aldehyde_129:-1
aldehyde_130:-1
aldehyde_131:-1
aldehyde_132:-1
aldehyde_133:-1
aldehyde_134:-1
aldehyde_135:-1
aldehyde_136:-1
aldehyde_137:-1
aldehyde_138:-1
aldehyde_139:-1
aldehyde_140:-1
aldehyde_141:-1
aldehyde_142:-1
aldehyde_143:-1
aldehyde_144:-1
aldehyde_145:-1
aldehyde_146:-1
aldehyde_147:-1
aldehyde_148:-1
aldehyde_149:-1
aldehyde_150:-1
aldehyde_151:-1
aldehyde_152:-1
aldehyde_153:-1
aldehyde_154:-1
aldehyde_155:-2
aldehyde_156:-1
aldehyde_157:-1
aldehyde_158:-1
aldehyde_159:-1
aldehyde_160:-1
aldehyde_161:-1
aldehyde_162:-1
aldehyde_163:-1
aldehyde_164:-1
aldehyde_165:-1
aldehyde_166:-1
aldehyde_167:-1
aldehyde_168:-1
aldehyde_169:-1
aldehyde_170:-1
aldehyde_171:-1
aldehyde_172:-1
aldehyde_173:-1
aldehyde_174:-1
aldehyde_175:-1
aldehyde_176:-1
aldehyde_177:-1
aldehyde_178:-1
aldehyde_179:-1
aldehyde_180:-1
aldehyde_181:-1
aldehyde_182:-1
aldehyde_183:-1
aldehyde_184:-1
aldehyde_185:-1
aldehyde_186:-1
aldehyde_187:-1
aldehyde_188:-1
aldehyde_189:-1
aldehyde_190:-1
aldehyde_191:-1
aldehyde_192:-2
aldehyde_193:-1
aldehyde_194:-1
aldehyde_195:-1
aldehyde_196:-1
aldehyde_197:-1
aldehyde_198:-1
aldehyde_199:-1
aldehyde_200:-1
aldehyde_201:-1
aldehyde_202:-1
aldehyde_203:-1
aldehyde_204:-1
aldehyde_205:-1
aldehyde_206:-1
aldehyde_207:-1
aldehyde_208:-1
aldehyde_209:-1
aldehyde_210:-1
aldehyde_211:-1
aldehyde_212:-1
aldehyde_213:-1
aldehyde_214:-1
aldehyde_215:-1
aldehyde_216:-1
aldehyde_217:-1
aldehyde_218:-1
aldehyde_219:-1
aldehyde_220:-1
aldehyde_221:-1
